	date	hashtags	text	user	verifieduser	registeredon	followersuser	followinguser	tweetsuser	favoritestweetsuser	retweet	quote	reply	likes	language	device	location	latitude	longitude
95	Wed Jul 08 19:55:06 +0000 2020	[]	RT @maggierose_bl: So excited to be with a community of @edpioneers &amp; @LEE_National members unpacking how schools and school leadership can…	edpioneers	True	Mon Oct 19 21:56:16 +0000 2009	21838	2050	8539	1471	0	0	0	0	en	WEB APP	United States	39.7837304	-100.4458825
96	Wed Jul 08 19:55:06 +0000 2020	[]	RT @nayIaswift: mas quem iria imaginar que um cara religioso, que chama mulher de vadia, faz comentários/clipes machistas e homofobicos, ap…	luviesparkles	False	Mon Oct 21 19:48:14 +0000 2019	2631	2592	39698	45521	0	0	0	0	pt	IPHONE	etheria	42.6032294	-5.5661736
98	Wed Jul 08 19:55:06 +0000 2020	[]	RT @OoCPokemon: politicians during covid-19 https://t.co/sdzuNAll4g	Alejand80904754	False	Fri Sep 27 23:37:52 +0000 2019	32	49	495	1533	0	0	0	0	en	IPHONE	Xalapa	19.5408338	-96.9146374
102	Wed Jul 08 19:55:06 +0000 2020	[]	Absolutely disgusting New Zealand. Full term abortion? My boys were smiling and ready to meet Mommy and Daddy at th… https://t.co/fb2KfjJwpa	JasonPoston	True	Wed Mar 11 20:42:52 +0000 2009	13558	574	20648	30093	0	0	0	0	en	IPHONE	Prosper, TX	33.2385763	-96.7866058
103	Wed Jul 08 19:55:07 +0000 2020	[]	"I’ve also reached that stage of “People I know tested positive for Covid-19”

Everyday I wonder am I next?"	Iam_TooMelo	False	Sun Jun 12 19:55:36 +0000 2016	2046	1407	25511	23439	0	0	0	0	en	IPHONE	South Africa	-28.8166236	24.991639
104	Wed Jul 08 19:55:07 +0000 2020	[]	Fuck COVID-19 cmon I MISS MY FRIENDDDDDS :((((	BlackSpidyWitch	False	Sat May 26 20:06:29 +0000 2018	147	132	16730	39627	0	0	0	0	en	IPHONE	𝖡𝖺𝗄𝖾𝗋 𝖲𝗍 ~ {she/her}	35.1172406	-89.9132695
106	Wed Jul 08 19:55:07 +0000 2020	['children', 'poverty', 'deprivation']	RT @reliefweb: New report shows Iraqi #children make up majority of people who risk falling into #poverty and #deprivation due to the impac…	CanadaDev	True	Wed Jan 13 16:29:47 +0000 2010	70973	772	22640	2971	0	0	0	0	en	WEB APP	Canada	61.0666922	-107.9917071
107	Wed Jul 08 19:55:07 +0000 2020	[]	"RT @maddow: ""Denver’s coronavirus testing site at the Pepsi Center closed its gates after noon on Tuesday as demand grew so high that city…"	vezzettj	False	Sat Aug 16 07:10:58 +0000 2014	87	241	8456	43912	0	0	0	0	en	WEB APP	Washington, DC	38.8949855	-77.0365708
111	Wed Jul 08 19:55:07 +0000 2020	[]	Talvez, mas só talvez, eu acho, só acho que meus pais e eu podemos estar com covid	ariscarpa	False	Wed Jul 26 23:59:23 +0000 2017	294	297	9586	29434	0	0	0	0	pt	IPHONE	Santa Catarina, Brasil	-27.0628367	-51.114965
113	Wed Jul 08 19:55:07 +0000 2020	[]	RT @KyleKulinski: Japan has less than 1,000 covid deaths. They never went in to full economic shut down. They have an unemployment rate of…	TheMoreYouFro	False	Fri Jul 03 23:23:41 +0000 2015	611	827	13226	8963	0	0	0	0	en	IPHONE	Tennessee, USA	35.7730076	-86.2820081
114	Wed Jul 08 19:55:07 +0000 2020	[]	Câmara renuncia a suplementação de R$ 773 mil para combate à Covid-19 https://t.co/iwsqhCQjR4	valle_ademir	False	Wed May 06 20:29:26 +0000 2020	5	34	365	0	0	0	0	0	pt	WEB APP	Espírito Santo, Brasil	-19.5687682	-40.1721991
118	Wed Jul 08 19:55:07 +0000 2020	[]	RT @PhilipRucker: Dr. Birx says it’s essential for people in “red zone” states now experiencing Covid spikes to wear masks, not go to bars…	Elischico	False	Tue Jul 27 01:32:18 +0000 2010	584	1709	22889	9050	0	0	0	0	en	IPHONE	Ohio	40.2253569	-82.6881395
119	Wed Jul 08 19:55:07 +0000 2020	[]	🙏🙏	senaxiiv	False	Wed Apr 22 22:28:37 +0000 2015	267	845	2967	6842	0	0	0	0	und	WEB APP	Brasília, Brasil	-10.3333333	-53.2
122	Wed Jul 08 19:55:07 +0000 2020	[]	"RT @io9: Disney World is still reopening this weekend as Florida's covid-19 cases skyrocket
https://t.co/XubX93AEYx https://t.co/RCaFBKieKZ"	Zanecario	False	Sun May 06 22:38:18 +0000 2018	231	846	64738	99221	0	0	0	0	en	WEB APP	Tennessee, USA	35.7730076	-86.2820081
126	Wed Jul 08 19:55:07 +0000 2020	[]	RT @AdryOcampoM: Pero Covid no existe! Que es eso????????	Criss_Mercado	False	Mon Apr 26 17:26:12 +0000 2010	847	493	145259	214560	0	0	0	0	es	WEB APP	Asteroide B 612	-34.1582157	-70.7056301
128	Wed Jul 08 19:55:07 +0000 2020	[]	RT @itsJeffTiedrich: am I understanding this correctly? covid-19 is so deadly that Paul Manafort and Michael Cohen had to be released from…	MuffinMan1124	False	Thu Jul 23 02:44:40 +0000 2015	78	78	28447	60752	0	0	0	0	en	IPHONE	Bolingbrook, IL	41.7003302	-88.0717708
129	Wed Jul 08 19:55:07 +0000 2020	[]	RT @reumalho: O dono da Ricardo Eletro, sozinho, sonegou 400 milhões de reais de impostos. Uma diária de UTI no SUS para paciente com covid…	delicatewxlrd	False	Thu Oct 12 21:17:49 +0000 2017	2459	3274	18417	36825	0	0	0	0	pt	WEB APP	Goiana, Brasil	-7.560603	-34.99591
130	Wed Jul 08 20:03:23 +0000 2020	[]	RT @NHSYouthForum: You can find the Young People’s Government Guidance here: https://t.co/PivE4DVYRX. Our NHSYF members also wrote a blog t…	SaraNelsonRGN	False	Tue Feb 19 19:08:50 +0000 2013	1757	1262	18833	24638	0	0	0	0	en	WEB APP	Beckenham	51.4070938	-0.0303183
131	Wed Jul 08 20:03:23 +0000 2020	['EsContigo']	#EsContigo| Amigo transportista recuerda que el Transporte público  está suspendido 100% en todas sus modalidades e… https://t.co/DzDVe3Sh0M	INTT_CALABOZO	False	Thu Aug 23 13:20:03 +0000 2018	225	137	1055	580	0	0	0	0	es	WEB APP	Calabozo, Venezuela	11.1158785	-71.8703941
132	Wed Jul 08 20:03:23 +0000 2020	[]	"RT @JoeBiden: When there were 15 cases, the President said it wouldn't spread any farther. 

We just hit our 3 millionth case.

We're payin…"	kdw_8437	False	Tue Sep 16 21:31:09 +0000 2014	12938	12890	178485	381882	0	0	0	0	en	WEB APP	Kansas, USA	38.27312	-98.5821872
134	Wed Jul 08 20:03:23 +0000 2020	[]	"RT @andre_rochadel: Bom dia:
-Flavio Bolsonaro depôs
-Queiroz e Wassef não delataram
-Mulher do Queiroz é foragida
-Não há Ministros da Saú…"	Aurorifera	False	Sat Jan 19 18:30:21 +0000 2013	1743	1102	129655	30841	0	0	0	0	pt	WEB APP	Catarinense 	-28.661453	-49.4322843
